Cart,Fiber,Ferrule X,Ferrule Y,Pin X,Pin Y,stdev Fx,stdev Fy,stdev Px,stdev Py
21,1,-15.38852669,-14.51872327,2274.105337,-1352.026371,3.664115758,2.836779141,0.363536668,0.143169603
21,2,-20.54484423,-5.782953416,2190.831299,-1318.316286,0.179508178,0.220726693,1.708739973,0.076737619
21,4,-19.3632696,28.29362448,2152.271666,-1276.001505,1.323337098,3.324497925,1.965927294,0.242429565
21,5,15.57496049,-13.33491793,2179.408523,-1323.079568,1.809345435,1.975971551,4.757121577,0.502255607
21,6,-22.9444538,-1.207322363,2055.685891,-1293.718048,2.363959993,2.503473251,1.491515289,0.075244231
21,7,-10.43210616,-18.13592956,2243.454748,-1349.87683,2.506905617,2.231952173,2.60149296,0.530379119
21,9,-17.08770382,-20.5098229,2059.790834,-1328.985417,3.365483128,4.88372417,0.909991996,0.004281263
21,10,-17.1267025,21.09141219,1944.514943,-1406.379276,2.958444607,3.877301571,1.848031927,0.24177368
21,12,-24.98285098,3.717083076,2266.625386,-1300.647575,5.334883568,5.567707025,0.756170878,0.768430097
21,13,-22.13080593,-8.499367571,2075.197446,-1370.404643,5.109967655,2.001567259,2.439424255,0.00576815
21,14,-11.15367743,44.02207633,2268.947233,-1246.564312,2.966040933,3.408166494,3.322045715,0.180595605
21,15,-8.112621633,16.06967649,2110.439957,-1305.971202,3.48974652,2.381244277,2.210692385,0.046524941
21,16,-22.33053465,-1.904859685,2121.011923,-1345.698113,1.479731143,4.428328494,2.026663857,0.165327047
22,1,-30.32316375,19.5429029,2180.733075,-1289.774241,3.581898728,2.89826908,5.465075473,1.766771694
22,2,-29.007,3.6625,2169.958,-1294.474,2.294647104,2.637,5.548979606,1.758
22,5,-27.02925,9.88875,2138.53375,-1310.589,3.984333183,3.54336228,2.580785071,1.513045494
22,6,-28.86656295,11.54841275,2249.312017,-1291.87901,2.04431234,4.558785193,3.538097211,0.126743191
22,7,-14.13725,34.7205,2227.60575,-1333.736,4.180601103,3.838933663,5.703474109,2.00157105
22,8,-11.53983547,17.97849881,2411.079818,-1306.498684,3.91357504,4.364529942,2.249448769,0.106107457
22,9,-21.2425,17.287,2201.7485,-1326.997,5.828171897,2.696024604,3.86863572,2.029963546
22,10,-0.65925,16.8475,2282.25025,-1307.659,5.171954909,0.971771064,1.82782847,4.17117857
22,13,-21.39211382,14.16635912,2300.347879,-1330.651038,4.192654585,3.739625499,0.837613465,0.131181464
22,14,-28.21647432,15.33807978,2115.333604,-1300.487735,4.015024638,1.325594636,2.680852695,0.116515814
22,15,-17.06725,11.8665,2322.68425,-1315.57,4.768944424,2.146445822,3.085787568,1.474734326
22,16,0.535610932,14.00013944,2052.09346,-1314.144774,2.664598434,1.107038828,2.763443318,1.985099264
23,1,-5.982229018,-18.5979357,2225.921,-1400.860708,3.279614396,2.302117824,3.41693781,3.497528261
23,2,-28.128,-12.1595,2251.998,-1448.006,5.850225181,1.595886483,3.40014686,1.12210457
23,4,-21.11080501,-5.589389035,2191.987412,-1323.98035,1.653903764,1.276405554,2.882154351,2.705882382
23,5,-20.803,24.7585,2152.5245,-1374.463,6.27503583,2.503393097,3.686835816,1.353309031
23,6,-29.93828279,11.67228992,2153.482742,-1246.875432,4.817528988,5.286257098,5.823354611,0.122176566
23,7,-4.02875,-15.45575,2005.51175,-1292.716,3.020174871,2.953104736,2.444107114,1.474734326
23,8,16.69808209,-24.09016841,2242.77072,-1468.098475,3.344505743,4.216675343,2.267278935,2.763988236
23,9,-21.29434917,-8.962103236,2222.198169,-1316.148794,5.473714075,7.793195328,2.802773251,0.369417178
23,10,-14.43025,-24.1725,2229.36375,-1279.824,2.171299361,5.72913033,4.616493718,3.08230801
23,12,-2.240292933,7.795621116,2205.273324,-1275.986228,4.468450517,1.460422272,2.308332401,0.860870749
23,13,-3.6625,-7.39825,2318.0695,-1339.01,2.263255104,3.867710983,1.814077819,3.366313711
23,14,-29.60918417,-2.15153537,2134.328157,-1266.535072,1.420038814,5.492791932,2.830457678,0.084118651
23,15,-7.911,-15.9685,2485.6655,-1281.875,2.531809366,3.462693123,2.106070195,1.353309031
23,16,18.87134127,-2.711219223,2727.58054,-0.519439292,2.145076533,0.115519497,1.35723881,0.000279955
24,1,-21.81402152,14.90730081,2340.383654,-1247.838637,3.748978647,4.413809739,4.17064822,0.964869744
24,2,1.543475884,-19.94859561,2152.902993,-1404.874517,3.099412201,1.536761539,1.371215866,0.143898021
24,4,-8.93589369,24.00270584,2187.621298,-1372.060274,3.693452457,2.937433906,4.370098652,1.299051556
24,5,-12.67225,-13.771,2299.39075,-1404.935,3.615316065,2.988025435,2.184438963,0.956933993
24,6,7.658906225,-10.99624841,2227.569006,-1407.344809,4.082334726,4.421062863,3.093063304,1.406670169
24,7,-17.17891013,-17.94887819,2344.991722,-1445.337139,3.597046949,3.872363459,3.869875769,1.193618838
24,8,8.078326657,18.71176063,2497.75354,-1411.234602,2.929140402,8.837278456,4.843668299,0.108917903
24,9,-11.02938957,20.85419156,2184.667902,-1368.686581,3.923760191,4.776641755,3.570592716,0.033956934
24,10,-26.956,8.3505,2268.113,-1368.896,5.164341455,3.592487485,3.643896083,1.474734326
24,12,5.427936247,17.19745442,2339.902054,-1381.938254,1.632764023,3.100376063,2.269173689,0.080015919
24,15,-26.956,-16.115,2248.6285,-1391.164,3.227436341,4.712353411,3.462693123,1.474734326
24,16,5.1275,-23.5865,2212.5895,-1433.063,4.623462015,1.980009512,6.461519197,0.956933993
25,1,-19.33666474,-11.47891512,2170.318022,-1311.840249,5.194676531,1.957976316,5.707104759,0.021534817
25,2,1.274416447,-19.68492773,2181.709051,-1381.699718,3.046007398,3.357756224,5.48420467,1.597154811
