Cart,Fiber,Ferrule X,Ferrule Y,Pin X,Pin Y,stdev Fx,stdev Fy,stdev Px,stdev Py
21,1,-15.38852669,-14.51872327,2274.105337,-1352.026371,3.664115758,2.836779141,0.363536668,0.143169603
21,2,-20.54484423,-5.782953416,2190.831299,-1318.316286,0.179508178,0.220726693,1.708739973,0.076737619
21,4,-19.3632696,28.29362448,2152.271666,-1276.001505,1.323337098,3.324497925,1.965927294,0.242429565
21,5,15.57496049,-13.33491793,2179.408523,-1323.079568,1.809345435,1.975971551,4.757121577,0.502255607
21,6,-22.9444538,-1.207322363,2055.685891,-1293.718048,2.363959993,2.503473251,1.491515289,0.075244231
21,7,-10.43210616,-18.13592956,2243.454748,-1349.87683,2.506905617,2.231952173,2.60149296,0.530379119
21,9,-17.08770382,-20.5098229,2059.790834,-1328.985417,3.365483128,4.88372417,0.909991996,0.004281263
21,10,-17.1267025,21.09141219,1944.514943,-1406.379276,2.958444607,3.877301571,1.848031927,0.24177368
21,12,-24.98285098,3.717083076,2266.625386,-1300.647575,5.334883568,5.567707025,0.756170878,0.768430097
21,13,-22.13080593,-8.499367571,2075.197446,-1370.404643,5.109967655,2.001567259,2.439424255,0.00576815
21,14,-11.15367743,44.02207633,2268.947233,-1246.564312,2.966040933,3.408166494,3.322045715,0.180595605
21,15,-8.112621633,16.06967649,2110.439957,-1305.971202,3.48974652,2.381244277,2.210692385,0.046524941
21,16,-22.33053465,-1.904859685,2121.011923,-1345.698113,1.479731143,4.428328494,2.026663857,0.165327047
24,1,-21.81402152,14.90730081,2340.383654,-1247.838637,3.748978647,4.413809739,4.17064822,0.964869744
24,2,1.543475884,-19.94859561,2152.902993,-1404.874517,3.099412201,1.536761539,1.371215866,0.143898021
24,4,-8.93589369,24.00270584,2187.621298,-1372.060274,3.693452457,2.937433906,4.370098652,1.299051556
24,5,-12.67225,-13.771,2299.39075,-1404.935,3.615316065,2.988025435,2.184438963,0.956933993
24,6,7.658906225,-10.99624841,2227.569006,-1407.344809,4.082334726,4.421062863,3.093063304,1.406670169
24,7,-17.17891013,-17.94887819,2344.991722,-1445.337139,3.597046949,3.872363459,3.869875769,1.193618838
24,8,8.078326657,18.71176063,2497.75354,-1411.234602,2.929140402,8.837278456,4.843668299,0.108917903
24,9,-11.02938957,20.85419156,2184.667902,-1368.686581,3.923760191,4.776641755,3.570592716,0.033956934
24,10,-26.956,8.3505,2268.113,-1368.896,5.164341455,3.592487485,3.643896083,1.474734326
24,12,5.427936247,17.19745442,2339.902054,-1381.938254,1.632764023,3.100376063,2.269173689,0.080015919
24,15,-26.956,-16.115,2248.6285,-1391.164,3.227436341,4.712353411,3.462693123,1.474734326
24,16,5.1275,-23.5865,2212.5895,-1433.063,4.623462015,1.980009512,6.461519197,0.956933993
25,1,-19.33666474,-11.47891512,2170.318022,-1311.840249,5.194676531,1.957976316,5.707104759,0.021534817
25,2,1.274416447,-19.68492773,2181.709051,-1381.699718,3.046007398,3.357756224,5.48420467,1.597154811
25,4,-33.14776966,-0.288942793,2164.502302,-1313.381645,5.253814903,5.036154736,2.78509834,0.082377309
25,5,-7.1785,21.389,2259.4695,-1275.8685,4.042267474,4.252707686,2.051,3.462693123
25,6,10.48172452,-6.111564279,2131.743123,-1285.569066,3.416802967,3.416723038,5.427316568,0.148618577
25,7,25.9305,15.3825,2272.508,-1281.289,7.070554033,3.362060628,4.424202979,1.513045494
25,8,-4.395,30.179,2294.3365,-1287.735,4.784669964,4.995342097,4.841154511,0.956933993
25,9,-15.74875,-10.47475,2226.43375,-1302.385,2.131394594,3.527173219,4.020083861,0.676654515
25,10,-16.2615,19.045,2163.6585,-1351.609,5.484137702,2.653227845,2.36224152,0.676654515
25,13,-22.48775,-9.962,2192.59225,-1294.181,6.072832913,5.074908866,1.481993112,1.513045494
25,14,-26.57022192,8.693764305,2165.245303,-1268.959421,3.919514912,3.640391807,3.900468973,0.056210412
25,15,-15.3825,-15.89525,2275.5845,-1333.443,4.395,4.055519397,4.623462015,1.657458295
25,16,-20.71969414,6.997785314,2295.97817,-1281.088944,4.9424677,3.700406432,1.678786833,0.153126605
