"pk","cartridge_pk","exists","gprobe_id","x_center","y_center","radius","rotation","x_ferrule_offset","y_ferrule_offset","focus_offset","fiber_type"
52,2173,1,1,245.06790161132812,459.5489807128906,11,127.51000213623047,0,0,600,"GUIDE"
53,2173,1,2,176.32220458984375,326.8796081542969,11,144.9600067138672,0,0,0,"GUIDE"
54,2173,1,3,100,100,37.5,0,0,0,0,"ACQUIRE"
55,2173,1,4,240.6938018798828,113.662841796875,11,159.8800048828125,0,0,-600,"GUIDE"
56,2173,1,5,243.7247772216797,286.9925231933594,11,169.99000549316406,0,0,0,"GUIDE"
57,2173,1,6,242.14735412597656,199.43406677246094,11,136.67999267578125,0,0,-600,"GUIDE"
58,2173,1,7,108.43466186523438,260.216064453125,11,153.47000122070312,0,0,0,"GUIDE"
59,2173,1,8,243.75172424316406,373.2482604980469,11,134.6300048828125,0,0,600,"GUIDE"
60,2173,1,9,321.1783142089844,371.8216857910156,11,152.22000122070312,0,0,600,"GUIDE"
61,2173,1,10,319.58489990234375,286.0774230957031,11,174.5,0,0,0,"GUIDE"
62,2173,1,11,100,100,37.5,0,0,0,0,"ACQUIRE"
63,2173,1,12,319.0733947753906,199.50401306152344,11,187.2899932861328,0,0,-600,"GUIDE"
64,2173,1,13,388.23626708984375,410.1473693847656,11,182.02999877929688,0,0,0,"GUIDE"
65,2173,1,14,317.44207763671875,113.05445861816406,11,193.07000732421875,0,0,-600,"GUIDE"
66,2173,1,15,455.55792236328125,343.2132873535156,11,156.07000732421875,0,0,0,"GUIDE"
67,2173,1,16,321.2052917480469,459.01947021484375,11,136.27000427246094,0,0,600,"GUIDE"
68,2173,1,17,144.2,443,10,0,0,0,0,"TRITIUM"
38225,2174,1,1,213,444.25,11,341,0,0,600,"GUIDE"
38226,2174,1,2,143,311.8999938964844,11,325,0,0,0,"GUIDE"
38227,2174,1,3,96.5,122.5,37.5,74.5,0,0,0,"ACQUIRE"
38228,2174,1,4,206,98.75,11,303,0,0,-600,"GUIDE"
38229,2174,1,5,210,271.5,11,317.5,0,0,0,"GUIDE"
38230,2174,1,6,208.25,184.5,11,324.5,0,0,-600,"GUIDE"
38231,2174,1,7,75,246,11,318,0,0,0,"GUIDE"
38232,2174,1,8,211.5,358.25,11,307.5,0,0,600,"GUIDE"
38233,2174,1,9,287.5,357.25,11,308.5,0,0,600,"GUIDE"
38234,2174,1,10,286.75,271,11,333,0,0,0,"GUIDE"
38235,2174,1,11,397,118,37.5,107,0,0,0,"ACQUIRE"
38236,2174,1,12,286.25,184,11,308,0,0,-600,"GUIDE"
38237,2174,1,13,357.75,395.5,11,336.5,0,0,0,"GUIDE"
38238,2174,1,14,282.25,96.5,11,1.5,0,0,-600,"GUIDE"
38239,2174,1,15,422.75,325,11,310,0,0,0,"GUIDE"
38240,2174,1,16,290.25,443,11,313.5,0,0,600,"GUIDE"
38241,2174,1,17,115.5,427.5,10,0,0,0,0,"TRITIUM"
1,2175,1,1,259.75,467.6499938964844,11,212.5,0,0,600,"GUIDE"
2,2175,1,2,190.8000030517578,333.45001220703125,11,206,0,0,0,"GUIDE"
3,2175,1,3,100,100,1,0,0,0,0,"ACQUIRE"
4,2175,1,4,254.5,119.75,11,183.5,0,0,-600,"GUIDE"
5,2175,1,5,257.6499938964844,293.75,11,175,0,0,0,"GUIDE"
6,2175,1,6,255.5,207.3000030517578,11,170,0,0,-600,"GUIDE"
7,2175,1,7,122.0999984741211,267.1000061035156,11,197,0,0,0,"GUIDE"
8,2175,1,8,258.29998779296875,380.29998779296875,11,186,0,0,600,"GUIDE"
9,2175,1,9,334.5,378.5,11,185,0,0,600,"GUIDE"
10,2175,1,10,334,292.20001220703125,11,235.5,0,0,0,"GUIDE"
11,2175,1,11,400,120,1,0,0,0,0,"ACQUIRE"
12,2175,1,12,333,204.60000610351562,11,197.8,0,0,-600,"GUIDE"
13,2175,1,13,403.3999938964844,415,11,182,0,0,0,"GUIDE"
14,2175,1,14,330.5,118.4000015258789,11,204.5,0,0,-600,"GUIDE"
15,2175,1,15,469.79998779296875,347.20001220703125,11,194.5,0,0,0,"GUIDE"
16,2175,1,16,337.20001220703125,465.3999938964844,11,198.5,0,0,600,"GUIDE"
17,2175,1,17,166,439.65,10,0,0,0,0,"TRITIUM"
18,2176,1,1,229.60000610351562,456.3999938964844,11,313,0,0,600,"GUIDE"
19,2176,1,2,159.8000030517578,322.3999938964844,11,290,0,0,0,"GUIDE"
20,2176,0,3,100,100,1,0,0,0,0,"ACQUIRE"
21,2176,1,4,224.60000610351562,110.80000305175781,11,265.5,0,0,-600,"GUIDE"
22,2176,1,5,226,282.79998779296875,11,294.5,0,0,0,"GUIDE"
23,2176,1,6,224.60000610351562,197.89999389648438,11,303,0,0,-600,"GUIDE"
24,2176,1,7,91.4000015258789,256.20001220703125,11,319.5,0,0,0,"GUIDE"
25,2176,1,8,226.8000030517578,370,11,301,0,0,600,"GUIDE"
26,2176,1,9,305.29998779296875,368.5,11,288.5,0,0,600,"GUIDE"
27,2176,1,10,303.79998779296875,282,11,300,0,0,0,"GUIDE"
28,2176,0,11,100,100,1,0,0,0,0,"ACQUIRE"
29,2176,1,12,303.5,196.3000030517578,11,313,0,0,-600,"GUIDE"
30,2176,1,13,371.29998779296875,407.5,11,319,0,0,0,"GUIDE"
31,2176,1,14,301.1000061035156,108.19999694824219,11,319.5,0,0,-600,"GUIDE"
32,2176,1,15,440.20001220703125,338.29998779296875,11,305,0,0,0,"GUIDE"
33,2176,1,16,306.2,456.4,11,265,0,0,600,"GUIDE"
34,2176,1,17,135.25,430.75,10,0,0,0,0,"TRITIUM"
35,2177,1,1,245.60000610351562,458,11,185.89999389648438,0,0,600,"GUIDE"
36,2177,1,2,176.1999969482422,325.70001220703125,11,206.60000610351562,0,0,0,"GUIDE"
37,2177,0,3,100,100,1,0,0,0,0,"ACQUIRE"
38,2177,1,4,240.1999969482422,112.0999984741211,11,154.6999969482422,0,0,-600,"GUIDE"
39,2177,1,5,242.39999389648438,284,11,153.39999389648438,0,0,0,"GUIDE"
40,2177,1,6,241.3000030517578,198.60000610351562,11,206.60000610351562,0,0,-600,"GUIDE"
41,2177,1,7,107.80000305175781,258.3999938964844,11,194,0,0,0,"GUIDE"
42,2177,1,8,244.5,371.6000061035156,11,149,0,0,600,"GUIDE"
43,2177,1,9,321.3999938964844,370.79998779296875,11,200.1999969482422,0,0,600,"GUIDE"
